River,Gauge Site,Date,Time,Up Stream Gauge,Up Stream ,Down Stream Gauge,Down Stream,Flood Limit in Lac Cusecs (Low),Flood Limit in Lac Cusecs (Med),Flood Limit in Lac Cusecs (High),Flood Limit in Lac Cusecs     (V High),Remarks
CHENAB,Khanki,16-Jun-24,18:00 Hrs,733,13648,718.6,5598,1,1.5,2,4,Normal
CHENAB,Qadirabad,16-Jun-24,18:00 Hrs,700,25741,684.7,6216,1,1.5,2,4,Normal
CHENAB,Trimmu,16-Jun-24,18:00 Hrs,490.5,35018,481.9,17718,1.5,2,3,4.5,Normal
CHENAB,Punjnad,16-Jun-24,18:00 Hrs,338,17374,325.4,3574,1.5,2,3,4.5,Normal
RAVI,Jassar,16-Jun-24,18:00 Hrs,-,-,775.1,1284,0.5,0.75,1,1.5,Normal
RAVI,Shahdara,16-Jun-24,18:00 Hrs,-,-,672.1,9990,0.4,0.65,0.9,1.35,Normal
RAVI,Balloki,16-Jun-24,18:00 Hrs,633,28360,617.8,2860,0.4,0.65,0.9,1.35,Normal
RAVI,Sidhnai,16-Jun-24,18:00 Hrs,467,13500,451.5,Nil,0.3,0.45,0.6,0.9,Normal
SUTLEJ,Bhakara**,16-Jun-24,18:00 Hrs,-,-,NR,NR,-,-,-,-,-
SUTLEJ,Sulemanki,16-Jun-24,18:00 Hrs,569,13707,558,2001,0.5,0.8,1.2,1.75,Normal
SUTLEJ,Islam,16-Jun-24,18:00 Hrs,455,3126,436.6,826,0.5,0.8,1.2,1.75,Normal
INDUS,khairabad,16-Jun-24,23:59 Hrs,-,-,13.9,167200,2.25,3.75,5,6.5,Normal
INDUS,Kalabagh,16-Jun-24,23:59 Hrs,693.5,183603,679.4,175847,2.5,3.75,5,6.5,Normal
INDUS,Chashma,16-Jun-24,23:59 Hrs,646.5,191640,613.8,185040,2.5,3.75,5,6.5,Normal
INDUS,Taunsa,16-Jun-24,23:59 Hrs,NR,NR,NR,NR,2.5,3.75,5,6.5,Normal
INDUS,Guddu,16-Jun-24,23:59 Hrs,258.4,137404,248.9,110504,2,3.5,5,7,Normal
INDUS,Sukkar,16-Jun-24,23:59 Hrs,199.5,96570,189,47465,2,3.5,5,7,Normal
INDUS,Kotri,16-Jun-24,23:59 Hrs,69.9,58022,46.8,19307,2.5,4,5,6.5,Normal
JHELUM,Kotli,16-Jun-24,23:59 Hrs,-,-,7.4,2400,-,-,-,-,-
JHELUM,Rasul,16-Jun-24,23:59 Hrs,719,50675,699.4,31142,0.75,1.1,1.5,2.25,Normal
CHENAB,Marala,16-Jun-24,23:59 Hrs,812,42736,795.8,15286,1,1.5,2,4,Normal
CHENAB,Khanki,16-Jun-24,23:59 Hrs,733,15514,719.6,7464,1,1.5,2,4,Normal
CHENAB,Qadirabad,16-Jun-24,23:59 Hrs,700,25741,684.7,6216,1,1.5,2,4,Normal
CHENAB,Trimmu,16-Jun-24,23:59 Hrs,490.5,34968,481.9,17718,1.5,2,3,4.5,Normal
CHENAB,Punjnad,16-Jun-24,23:59 Hrs,338,15869,324.7,2069,1.5,2,3,4.5,Normal
RAVI,Jassar,16-Jun-24,23:59 Hrs,-,-,775.1,1284,0.5,0.75,1,1.5,Normal
RAVI,Shahdara,16-Jun-24,23:59 Hrs,-,-,672.1,9990,0.4,0.65,0.9,1.35,Normal
RAVI,Balloki,16-Jun-24,23:59 Hrs,633,28360,617.8,2860,0.4,0.65,0.9,1.35,Normal
RAVI,Sidhnai,16-Jun-24,23:59 Hrs,467,13500,451.5,Nil,0.3,0.45,0.6,0.9,Normal
SUTLEJ,Bhakara**,16-Jun-24,23:59 Hrs,-,-,NR,NR,-,-,-,-,-
SUTLEJ,Sulemanki,16-Jun-24,23:59 Hrs,569,13707,558,2001,0.5,0.8,1.2,1.75,Normal
SUTLEJ,Islam,16-Jun-24,23:59 Hrs,455,3126,436.6,826,0.5,0.8,1.2,1.75,Normal
INDUS,khairabad,17-Jun-24,06:00 Hrs,-,-,-,NR,2.25,3.75,5,6.5,Normal
INDUS,Kalabagh,17-Jun-24,06:00 Hrs,694,184926,679,177186,2.5,3.75,5,6.5,Normal
INDUS,Chashma,17-Jun-24,06:00 Hrs,-,-,-,NR,2.5,3.75,5,6.5,Normal
INDUS,Taunsa,17-Jun-24,06:00 Hrs,447,176756,429,159052,2.5,3.75,5,6.5,Normal
INDUS,Guddu,17-Jun-24,06:00 Hrs,-,-,-,NR,2,3.5,5,7,Normal
INDUS,Sukkar,17-Jun-24,06:00 Hrs,-,-,-,NR,2,3.5,5,7,Normal
INDUS,Kotri,17-Jun-24,06:00 Hrs,-,-,-,NR,2.5,4,5,6.5,Normal
JHELUM,Kotli,17-Jun-24,06:00 Hrs,-,-,-,NR,-,-,-,-,-
JHELUM,Rasul,17-Jun-24,06:00 Hrs,719,40447,698,20914,0.75,1.1,1.5,2.25,Normal
CHENAB,Marala,17-Jun-24,06:00 Hrs,812,46510,797,19060,1,1.5,2,4,Normal
CHENAB,Khanki,17-Jun-24,06:00 Hrs,733,15514,720,7464,1,1.5,2,4,Normal
CHENAB,Qadirabad,17-Jun-24,06:00 Hrs,700,25741,685,6216,1,1.5,2,4,Normal
CHENAB,Trimmu,17-Jun-24,06:00 Hrs,491,34968,482,17718,1.5,2,3,4.5,Normal
CHENAB,Punjnad,17-Jun-24,06:00 Hrs,338,15869,325,2069,1.5,2,3,4.5,Normal
RAVI,Jassar,17-Jun-24,06:00 Hrs,-,-,775,1284,0.5,0.75,1,1.5,Normal
RAVI,Shahdara,17-Jun-24,06:00 Hrs,-,-,672,10404,0.4,0.65,0.9,1.35,Normal
RAVI,Balloki,17-Jun-24,06:00 Hrs,633,28360,618,2860,0.4,0.65,0.9,1.35,Normal
RAVI,Sidhnai,17-Jun-24,06:00 Hrs,467,13500,452,Nil,0.3,0.45,0.6,0.9,Normal
SUTLEJ,Bhakara**,17-Jun-24,06:00 Hrs,-,-,NR,NR,-,-,-,-,-
SUTLEJ,Sulemanki,17-Jun-24,06:00 Hrs,569,15331,559,3625,0.5,0.8,1.2,1.75,Normal
SUTLEJ,Islam,17-Jun-24,06:00 Hrs,455,2749,434,449,0.5,0.8,1.2,1.75,Normal
INDUS,khairabad,17-Jun-24,12:00 Hrs,-,-,13,157600,2.25,3.75,5,6.5,Normal
INDUS,Kalabagh,17-Jun-24,12:00 Hrs,693.5,204852,679.9,197112,2.5,3.75,5,6.5,Normal
INDUS,Chashma,17-Jun-24,12:00 Hrs,646.9,193247,613.8,184983,2.5,3.75,5,6.5,Normal
INDUS,Taunsa,17-Jun-24,12:00 Hrs,446.7,176756,429.2,159052,2.5,3.75,5,6.5,Normal
INDUS,Guddu,17-Jun-24,12:00 Hrs,258.2,140590,249,113711,2,3.5,5,7,Normal
INDUS,Sukkar,17-Jun-24,12:00 Hrs,195.5,101130,189.5,51225,2,3.5,5,7,Normal
INDUS,Kotri,17-Jun-24,12:00 Hrs,69.9,58065,47,20920,2.5,4,5,6.5,Normal
JHELUM,Kotli,17-Jun-24,12:00 Hrs,-,-,7.6,2800,-,-,-,-,-
JHELUM,Rasul,17-Jun-24,12:00 Hrs,719,55797,700,36246,0.75,1.1,1.5,2.25,Normal
CHENAB,Marala,17-Jun-24,12:00 Hrs,812,46510,796.5,19060,1,1.5,2,4,Normal
CHENAB,Khanki,17-Jun-24,12:00 Hrs,733,13648,718.6,5598,1,1.5,2,4,Normal
CHENAB,Qadirabad,17-Jun-24,12:00 Hrs,700,24423,684.6,4849,1,1.5,2,4,Normal
CHENAB,Trimmu,17-Jun-24,12:00 Hrs,490.5,36372,482.3,19122,1.5,2,3,4.5,Normal
CHENAB,Punjnad,17-Jun-24,12:00 Hrs,338,15869,324.7,2069,1.5,2,3,4.5,Normal
RAVI,Jassar,17-Jun-24,12:00 Hrs,-,-,775.1,1284,0.5,0.75,1,1.5,Normal
RAVI,Shahdara,17-Jun-24,12:00 Hrs,-,-,672.2,10404,0.4,0.65,0.9,1.35,Normal
RAVI,Balloki,17-Jun-24,12:00 Hrs,633,28360,617.8,2860,0.4,0.65,0.9,1.35,Normal
RAVI,Sidhnai,17-Jun-24,12:00 Hrs,467,14000,451.5,Nil,0.3,0.45,0.6,0.9,Normal
SUTLEJ,Bhakara**,17-Jun-24,12:00 Hrs,-,-,NR,NR,-,-,-,-,-
SUTLEJ,Sulemanki,17-Jun-24,12:00 Hrs,569,15331,559.1,3625,0.5,0.8,1.2,1.75,Normal
SUTLEJ,Islam,17-Jun-24,12:00 Hrs,455,2300,434,Nil,0.5,0.8,1.2,1.75,Normal
INDUS,khairabad,17-Jun-24,18:00 Hrs,-,-,12,147100,2.25,3.75,5,6.5,Normal
INDUS,Kalabagh,17-Jun-24,18:00 Hrs,693.5,193768,679.5,186028,2.5,3.75,5,6.5,Normal
INDUS,Chashma,17-Jun-24,18:00 Hrs,647.3,191504,613.8,184904,2.5,3.75,5,6.5,Normal
INDUS,Taunsa,17-Jun-24,18:00 Hrs,446.7,176756,429.2,159052,2.5,3.75,5,6.5,Normal
INDUS,Guddu,17-Jun-24,18:00 Hrs,258.2,138893,248.9,111581,2,3.5,5,7,Normal
INDUS,Sukkar,17-Jun-24,18:00 Hrs,195.5,101130,189.5,51225,2,3.5,5,7,Normal
INDUS,Kotri,17-Jun-24,18:00 Hrs,69.9,58065,47,20920,2.5,4,5,6.5,Normal
JHELUM,Kotli,17-Jun-24,18:00 Hrs,-,,7.5,2600,-,-,-,-,-
JHELUM,Rasul,17-Jun-24,18:00 Hrs,719,55797,700,36264,0.75,1.1,1.5,2.25,Normal
CHENAB,Marala,17-Jun-24,18:00 Hrs,812,46510,796.5,19060,1,1.5,2,4,Normal
CHENAB,Khanki,17-Jun-24,18:00 Hrs,733,19246,720.6,11196,1,1.5,2,4,Normal
CHENAB,Qadirabad,17-Jun-24,18:00 Hrs,700,25741,684.7,6216,1,1.5,2,4,Normal
CHENAB,Trimmu,17-Jun-24,18:00 Hrs,490.5,37545,482.8,20295,1.5,2,3,4.5,Normal
CHENAB,Punjnad,17-Jun-24,18:00 Hrs,338,15869,324.7,2069,1.5,2,3,4.5,Normal
RAVI,Jassar,17-Jun-24,18:00 Hrs,-,-,775.1,1284,0.5,0.75,1,1.5,Normal
RAVI,Shahdara,17-Jun-24,18:00 Hrs,-,-,672.2,10404,0.4,0.65,0.9,1.35,Normal
RAVI,Balloki,17-Jun-24,18:00 Hrs,633,28010,617.5,2010,0.4,0.65,0.9,1.35,Normal
RAVI,Sidhnai,17-Jun-24,18:00 Hrs,467,14000,451.5,Nil,0.3,0.45,0.6,0.9,Normal
SUTLEJ,Bhakara**,17-Jun-24,18:00 Hrs,-,-,NR,NR,-,-,-,-,-
SUTLEJ,Sulemanki,17-Jun-24,18:00 Hrs,569,15344,558.3,2326,0.5,0.8,1.2,1.75,Normal
SUTLEJ,Islam,17-Jun-24,18:00 Hrs,455,2300,434,Nil,0.5,0.8,1.2,1.75,Normal
INDUS,khairabad,17-Jun-24,23:59 Hrs,-,-,14,168300,2.25,3.75,5,6.5,Normal
INDUS,Kalabagh,17-Jun-24,23:59 Hrs,693.5,204852,679.9,197112,2.5,3.75,5,6.5,Normal
INDUS,Chashma,17-Jun-24,23:59 Hrs,647.4,191579,613.8,184919,2.5,3.75,5,6.5,Normal
INDUS,Taunsa,17-Jun-24,23:59 Hrs,446.7,176756,429.2,159052,2.5,3.75,5,6.5,Normal
INDUS,Guddu,17-Jun-24,23:59 Hrs,258.2,138893,248.9,111581,2,3.5,5,7,Normal
INDUS,Sukkar,17-Jun-24,23:59 Hrs,195.5,101130,189.5,51225,2,3.5,5,7,Normal
INDUS,Kotri,17-Jun-24,23:59 Hrs,69.9,58065,47,20920,2.5,4,5,6.5,Normal
JHELUM,Kotli,17-Jun-24,23:59 Hrs,-,-,7.5,2600,-,-,-,-,-
JHELUM,Rasul,17-Jun-24,23:59 Hrs,719,55697,700,36264,0.75,1.1,1.5,2.25,Normal
CHENAB,Marala,17-Jun-24,23:59 Hrs,812,60374,797.5,32924,1,1.5,2,4,Normal
CHENAB,Khanki,17-Jun-24,23:59 Hrs,733,21112,721,13062,1,1.5,2,4,Normal
CHENAB,Qadirabad,17-Jun-24,23:59 Hrs,700,27038,684.9,7513,1,1.5,2,4,Normal
CHENAB,Trimmu,17-Jun-24,23:59 Hrs,490.5,39166,482.9,21916,1.5,2,3,4.5,Normal
CHENAB,Punjnad,17-Jun-24,23:59 Hrs,338,15869,324.7,2069,1.5,2,3,4.5,Normal
RAVI,Jassar,17-Jun-24,23:59 Hrs,-,-,775.1,1284,0.5,0.75,1,1.5,Normal
RAVI,Shahdara,17-Jun-24,23:59 Hrs,-,-,672.2,10404,0.4,0.65,0.9,1.35,Normal
RAVI,Balloki,17-Jun-24,23:59 Hrs,633,28860,617.8,2860,0.4,0.65,0.9,1.35,Normal
RAVI,Sidhnai,17-Jun-24,23:59 Hrs,467,14000,451.5,Nil,0.3,0.45,0.6,0.9,Normal
SUTLEJ,Bhakara**,17-Jun-24,23:59 Hrs,-,-,NR,NR,-,-,-,-,-
SUTLEJ,Sulemanki,17-Jun-24,23:59 Hrs,569,15344,558.3,2326,0.5,0.8,1.2,1.75,Normal
SUTLEJ,Islam,17-Jun-24,23:59 Hrs,455,2300,434,NIL,0.5,0.8,1.2,1.75,Normal
INDUS,khairabad,18-Jun-24,06:00 Hrs,-,-,16,190300,2.25,3.75,5,6.5,Normal
INDUS,Kalabagh,18-Jun-24,06:00 Hrs,693.5,189616,679.5,181876,2.5,3.75,5,6.5,Normal
INDUS,Chashma,18-Jun-24,06:00 Hrs,647.4,190899,613.8,184299,2.5,3.75,5,6.5,Normal
INDUS,Taunsa,18-Jun-24,06:00 Hrs,446.7,176756,429.2,159052,2.5,3.75,5,6.5,Normal
INDUS,Guddu,18-Jun-24,06:00 Hrs,258.2,139960,248.9,111581,2,3.5,5,7,Normal
INDUS,Sukkar,18-Jun-24,06:00 Hrs,199.5,105220,189.7,55380,2,3.5,5,7,Normal
INDUS,Kotri,18-Jun-24,06:00 Hrs,69.9,49787,44.8,9842,2.5,4,5,6.5,Normal
